Index,City,Country,population
1,Tokyo,Japan,37468000
2,Delhi,India,28514000
3,Shanghai,China,25582000
4,São Paulo,Brazil,21650000
5,Mexico City,Mexico,21581000
6,Cairo,Egypt,20076000
7,Mumbai,India,19980000
8,Beijing,China,19618000
9,Dhaka,Bangladesh,19578000
10,Osaka,Japan,19281000
