Domain Code,Domain,Area Code (ISO3),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","106.800524","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","107.449767","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","107.882596","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","108.423632","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","107.233353","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","108.748254","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","108.748254","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","108.423632","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","108.531839","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","108.748254","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","108.531839","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","AUT","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","109.072875","X","Figure from international organizations","base year is 2015"
