id,id_name,name,type,category,perimeter,has_fence,area_sqm,is_over_100_sqm,is_over_1_000_sqm
1,1 - Jardinieres Evq De La Rue De Meaux,Jardinieres Evq De La Rue De Meaux,Street Decorations,Planter,,0.0,230,1,0
2,2 - Jardinieres De La Rie De Mogador,Jardinieres De La Rie De Mogador,Street Decorations,Planter,,0.0,118,1,0
3,3 - Jardinieres Evq De La Rue Servan,Jardinieres Evq De La Rue Servan,Street Decorations,Planter,,0.0,119,1,0
4,4 - Jardinieres Evq De La Rue Nationale,Jardinieres Evq De La Rue Nationale,Street Decorations,Planter,,0.0,531,1,0
5,5 - Jardins Des Champs Elysees- Jardin Line Renaud,Jardins Des Champs Elysees- Jardin Line Renaud,Open Promenades,Garden,,0.0,19219,1,1
6,6 - Square Michel Foucault,Square Michel Foucault,Decorative Gardens,Public Garden,123,1.0,623,1,0
7,7 - 23-21,23-21,Ring Road,Slope,96,0.0,119,1,0
8,8 - Jardinieres De La Rue D Aubervilliers ( Entre Crimee Et Ourcq),Jardinieres De La Rue D Aubervilliers ( Entre Crimee Et Ourcq),Street Decorations,Planter,,0.0,233,1,0
9,9 - Jardinieres Rae De La Rue Des Amandiers,Jardinieres Rae De La Rue Des Amandiers,Street Decorations,Planter,,0.0,100,0,0
10,10 - Jardiniere De La Place Jean-Baptiste Clement,Jardiniere De La Place Jean-Baptiste Clement,Street Decorations,Planter,97,0.0,452,1,0
11,11 - Jardinieres Rae De La Rue De Tlemcen,Jardinieres Rae De La Rue De Tlemcen,Street Decorations,Planter,,0.0,201,1,0
12,12 - Jardinieres Evq De La Rue  Pixericourt,Jardinieres Evq De La Rue  Pixericourt,Street Decorations,Planter,,0.0,67,0,0
13,13 - Jardin Monique Wittig,Jardin Monique Wittig,Open Promenades,Small Garden,230,0.0,1391,1,1
14,14 - Promenade Pc 18 - Ornano - Poissonniers,Promenade Pc 18 - Ornano - Poissonniers,Open Promenades,Promenade,,1.0,9620,1,1
15,15 - Jardinieres De La Rue De L'Interne Loeb,Jardinieres De La Rue De L'Interne Loeb,Street Decorations,Planter,,0.0,16,0,0
16,16 - Jardiniere De La Place Maurice Audouin,Jardiniere De La Place Maurice Audouin,Street Decorations,Planter,52,0.0,90,0,0
17,17 - 15-00,15-00,Ring Road,Slope,240,0.0,717,1,0
18,18 - Jardin De La Rue Compans,Jardin De La Rue Compans,Open Promenades,Garden,244,1.0,2386,1,1
19,19 - 00-06,00-06,Ring Road,Slope,258,0.0,1890,1,1
20,20 - Jardiniere De La Place Stuart Merrill,Jardiniere De La Place Stuart Merrill,Street Decorations,Planter,22,0.0,29,0,0
21,21 - Jardinieres De L'Avenue De La Porte De Chatillon,Jardinieres De L'Avenue De La Porte De Chatillon,Street Decorations,Planter,202,0.0,807,1,0
22,22 - Talus De L'Avenue Rene Coty,Talus De L'Avenue Rene Coty,Street Decorations,Slope,1310,0.0,2337,1,1
23,23 - Jardinieres De L'Avenue Theophile Gautier,Jardinieres De L'Avenue Theophile Gautier,Street Decorations,Planter,40,0.0,39,0,0
24,24 - 24-04,24-04,Ring Road,Slope,278,0.0,1411,1,1
25,25 - Jardinet De La Statue Du Faune,Jardinet De La Statue Du Faune,Decorative Gardens,Small Garden,24,1.0,34,0,0
26,26 - Jardinet Du Monument Aux Morts De La Mairie Du 15Eme,Jardinet Du Monument Aux Morts De La Mairie Du 15Eme,Street Decorations,Small Garden,46,0.0,76,0,0
27,27 - Promenade Bernard Lafay - B2,Promenade Bernard Lafay - B2,Open Promenades,Promenade,676,1.0,6697,1,1
28,28 - Square Cambronne,Square Cambronne,Open Promenades,Public Garden,161,1.0,1645,1,1
29,29 - Jardiniere Verticale Du Square Carlo Sarrabezolles 1,Jardiniere Verticale Du Square Carlo Sarrabezolles 1,Green Walls,Green Walls,,0.0,106,1,0
30,30 - Decoration De La Cite De Trevise,Decoration De La Cite De Trevise,Street Decorations,Decoration,51,0.0,197,1,0
