id,id_name,name,type,category,perimeter,has_fence,area_sqm,is_over_100_sqm,is_over_1_000_sqm
31,31 - Plate Bande De La Rue Cognacq-Jay,Plate Bande De La Rue Cognacq-Jay,Street Decorations,Flower Bed,812,0.0,865,1,0
32,32 - Decoration Angle Des Rues Du Docteur Tuffier - Damesme,Decoration Angle Des Rues Du Docteur Tuffier - Damesme,Street Decorations,Decoration,50,0.0,50,0,0
33,33 - Jardinieres Du Bassin Louis Blanc,Jardinieres Du Bassin Louis Blanc,Street Decorations,Planter,260,0.0,659,1,0
34,34 - Plate-Bande Du Boulevard Exelmans,Plate-Bande Du Boulevard Exelmans,Street Decorations,Flower Bed,610,0.0,465,1,0
35,35 - Cimetiere Parisien De La Chapelle,Cimetiere Parisien De La Chapelle,Cemeteries,Graveyard,593,1.0,21737,1,1
36,36 - Jardinieres De L'Allee Alexandre Vialatte,Jardinieres De L'Allee Alexandre Vialatte,Street Decorations,Planter,142,0.0,190,1,0
37,37 - Promenade Amalia Rodrigues,Promenade Amalia Rodrigues,Open Promenades,Promenade,1141,0.0,16195,1,1
38,38 - Plate-Bande Du Boulevard Pasteur,Plate-Bande Du Boulevard Pasteur,Decorative Gardens,Flower Bed,656,1.0,817,1,0
39,39 - Jardiniere De La Rue Watteau,Jardiniere De La Rue Watteau,Street Decorations,Planter,81,0.0,198,1,0
40,40 - Jardinet De La Place Du Docteur Yersin,Jardinet De La Place Du Docteur Yersin,Street Decorations,Small Garden,133,0.0,805,1,0
41,41 - Jardin Alleray - Procession,Jardin Alleray - Procession,Open Promenades,Garden,305,1.0,2830,1,1
42,42 - Promenade Bernard Lafay - A6,Promenade Bernard Lafay - A6,Open Promenades,Promenade,418,1.0,3016,1,1
43,43 - Square Carpeaux,Square Carpeaux,Open Promenades,Public Garden,395,1.0,7197,1,1
44,44 - Square Marc Seguin,Square Marc Seguin,Open Promenades,Public Garden,126,1.0,926,1,0
45,45 - Jardin Anais Nin,Jardin Anais Nin,Open Promenades,Garden,341,0.0,3006,1,1
46,46 - 07-03,07-03,Ring Road,Slope,146,0.0,500,1,0
47,47 - Talus Rue Stendhal,Talus Rue Stendhal,Decorative Gardens,Slope,118,1.0,262,1,0
48,48 - Jardiniere Verticale Du 9 Avenue Courteline,Jardiniere Verticale Du 9 Avenue Courteline,Green Walls,Green Walls,41,0.0,8,0,0
49,49 - Square Georges Cain,Square Georges Cain,Open Promenades,Public Garden,185,1.0,2060,1,1
50,50 - Jardinet Aux Abords Du Passage Souterrain Alma,Jardinet Aux Abords Du Passage Souterrain Alma,Decorative Gardens,Small Garden,498,1.0,2900,1,1
51,51 - Square De La Tour Saint-Jacques,Square De La Tour Saint-Jacques,Open Promenades,Public Garden,427,1.0,5917,1,1
52,52 - Square Gaston Baty,Square Gaston Baty,Open Promenades,Public Garden,152,1.0,1150,1,1
53,53 - Jardin Berthe Morisot,Jardin Berthe Morisot,Open Promenades,Garden,228,1.0,2963,1,1
54,54 - Jardin Cromot-Du Bourg,Jardin Cromot-Du Bourg,Open Promenades,Garden,98,1.0,423,1,0
55,55 - Jardin Federica Montseny,Jardin Federica Montseny,Open Promenades,Garden,129,1.0,910,1,0
56,56 - Jardin D'Immeubles Choisy - Caillaux,Jardin D'Immeubles Choisy - Caillaux,Open Promenades,Building Garden,150,1.0,883,1,0
57,57 - 00-10,00-10,Ring Road,Slope,173,0.0,1459,1,1
58,58 - Jardiniere Comestible De La Rue Politzer,Jardiniere Comestible De La Rue Politzer,Street Decorations,Planter,,0.0,460,1,0
59,59 - Jardiniere Verticale Du 16 Square Desaix,Jardiniere Verticale Du 16 Square Desaix,Green Walls,Green Walls,,0.0,8,0,0
60,60 - Jardinet De La Fontaine Saint-Medard,Jardinet De La Fontaine Saint-Medard,Street Decorations,Small Garden,57,0.0,113,1,0
61,61 - Jardinieres De La Place Jussieu,Jardinieres De La Place Jussieu,Street Decorations,Planter,113,0.0,175,1,0
62,62 - Promenade De L'Avenue De Breteuil 15E,Promenade De L'Avenue De Breteuil 15E,Open Promenades,Promenade,553,0.0,3596,1,1
63,63 - Square De L'Abbe Migne,Square De L'Abbe Migne,Open Promenades,Public Garden,281,0.0,2166,1,1
64,64 - Jardin Ilan Halimi (Anc. Rue De Fecamp - Michel Bizot),Jardin Ilan Halimi (Anc. Rue De Fecamp - Michel Bizot),Open Promenades,Garden,359,1.0,4082,1,1
65,65 - Jardiniere De La Villa De L'Astrolabe,Jardiniere De La Villa De L'Astrolabe,Street Decorations,Planter,57,0.0,62,0,0
66,66 - Square Castagnary - Bessin,Square Castagnary - Bessin,Open Promenades,Public Garden,241,1.0,1261,1,1
67,67 - Square De La Croix Rouge,Square De La Croix Rouge,Open Promenades,Public Garden,494,1.0,12011,1,1
68,68 - Jardinieres De La Rue Serge Prokofiev,Jardinieres De La Rue Serge Prokofiev,Street Decorations,Planter,105,0.0,119,1,0
69,69 - Jardiniere De La Rue Van Gogh,Jardiniere De La Rue Van Gogh,Street Decorations,Planter,49,0.0,164,1,0
70,70 - Jardinieres De La Rue Beethoven,Jardinieres De La Rue Beethoven,Street Decorations,Planter,50,0.0,26,0,0
71,71 - Jardiniere Du Boulevard Auguste Blanqui,Jardiniere Du Boulevard Auguste Blanqui,Street Decorations,Planter,19,0.0,20,0,0
72,72 - Jardinieres De La Rue Du Tresor,Jardinieres De La Rue Du Tresor,Street Decorations,Planter,294,0.0,236,1,0
73,73 - Jardin Catherine Laboure,Jardin Catherine Laboure,Open Promenades,Garden,355,1.0,6917,1,1
74,74 - Jardinieres De La Mairie Du Xiieme,Jardinieres De La Mairie Du Xiieme,Street Decorations,Planter,70,0.0,73,0,0
75,75 - Square Paul Paray,Square Paul Paray,Open Promenades,Public Garden,493,1.0,3819,1,1
76,76 - Square Henry Bataille,Square Henry Bataille,Open Promenades,Public Garden,203,1.0,2166,1,1
77,77 - Jardin Louise Weber Dite La Goulue,Jardin Louise Weber Dite La Goulue,Open Promenades,Garden,206,1.0,1721,1,1
78,78 - Square Des Saints-Simoniens - Menilmontant,Square Des Saints-Simoniens - Menilmontant,Open Promenades,Public Garden,516,1.0,8983,1,1
79,79 - Square Eugene Varlin,Square Eugene Varlin,Open Promenades,Public Garden,214,1.0,910,1,0
80,80 - Cimetiere De Vaugirard,Cimetiere De Vaugirard,Cemeteries,Graveyard,591,1.0,15916,1,1
81,81 - Jardinieres Du 19-21 Boulevard De Bercy,Jardinieres Du 19-21 Boulevard De Bercy,Street Decorations,Planter,131,0.0,130,1,0
82,82 - Square Jean Jaures,Square Jean Jaures,Open Promenades,Public Garden,213,1.0,2933,1,1
83,"83 - Hippodrome D'Auteuil, Pelouse B","Hippodrome D'Auteuil, Pelouse B",Open Promenades,Lawn,900,1.0,24652,1,1
84,84 - Mail Belliard,Mail Belliard,Decorative Gardens,Avenue,1050,0.0,2111,1,1
85,85 - Jardinet De La Place Mireille Havet,Jardinet De La Place Mireille Havet,Decorative Gardens,Small Garden,137,1.0,444,1,0
86,86 - Talus Rue Alexander Fleming (Cite Le Belvedere),Talus Rue Alexander Fleming (Cite Le Belvedere),Street Decorations,Slope,302,0.0,686,1,0
87,87 - Plate-Bandes Du Cours D'Aubervilliers,Plate-Bandes Du Cours D'Aubervilliers,Street Decorations,Flower Bed,623,0.0,3527,1,1
88,88 - Talus Passerelle Peripherique Fol Nord,Talus Passerelle Peripherique Fol Nord,Street Decorations,Slope,144,0.0,807,1,0
89,89 - Jardiniere Verticale Du 39 Quai De La Seine,Jardiniere Verticale Du 39 Quai De La Seine,Green Walls,Green Walls,13,0.0,1,0,0
90,90 - Jardiniere Verticale Du 71 Quai De La Seine,Jardiniere Verticale Du 71 Quai De La Seine,Green Walls,Green Walls,13,0.0,1,0,0
91,91 - Jardiniere Verticale Du 16 Rue De La Perle,Jardiniere Verticale Du 16 Rue De La Perle,Green Walls,Green Walls,19,0.0,3,0,0
92,92 - Jardiniere Verticale Du 2 Rue De Moussy,Jardiniere Verticale Du 2 Rue De Moussy,Green Walls,Planter,11,0.0,1,0,0
93,93 - Talus Avenue Ibsen,Talus Avenue Ibsen,Ring Road,Slope,298,0.0,1770,1,1
94,94 - 21-15,21-15,Ring Road,Slope,271,0.0,959,1,0
95,95 - 23-50,23-50,Ring Road,Slope,600,0.0,1223,1,1
96,96 - 16-07,16-07,Ring Road,Slope,352,0.0,1814,1,1
97,97 - 13-02,13-02,Ring Road,Slope,242,0.0,1071,1,1
98,98 - 13-01,13-01,Ring Road,Slope,289,0.0,2594,1,1
99,99 - 15-04,15-04,Ring Road,Slope,418,0.0,3168,1,1
100,100 - Jardiniere Verticale Du 32 Rue De La Tour D'Auvergne,Jardiniere Verticale Du 32 Rue De La Tour D'Auvergne,Green Walls,Green Walls,2,0.0,0,0,0
101,101 - Jardin Francoise Mallet-Joris,Jardin Francoise Mallet-Joris,Open Promenades,Garden,236,0.0,2158,1,1
102,102 - Jardin De L'Hopital Saint-Louis,Jardin De L'Hopital Saint-Louis,Open Promenades,Garden,,1.0,9260,1,1
103,103 - Jardin Partage Du Jardin Marie Poussepin,Jardin Partage Du Jardin Marie Poussepin,"Temporary, Shared, Educational Spaces",Shared Garden,,1.0,124,1,0
104,104 - Jardin Partage Du Jardin Paul Didier,Jardin Partage Du Jardin Paul Didier,"Temporary, Shared, Educational Spaces",Shared Garden,,1.0,70,0,0
105,105 - Jardin Partage De La Rue Saint Blaise,Jardin Partage De La Rue Saint Blaise,"Temporary, Shared, Educational Spaces",Shared Garden,,1.0,59,0,0
106,106 - Jardin Partage Du Jardin Du 60 Rue De La Justice,Jardin Partage Du Jardin Du 60 Rue De La Justice,"Temporary, Shared, Educational Spaces",Shared Garden,,1.0,145,1,0
107,107 - Jardinieres De La Percee Metiers,Jardinieres De La Percee Metiers,Street Decorations,Planter,,0.0,112,1,0
108,108 - Jardinieres De La Place De La Nation (12Eme),Jardinieres De La Place De La Nation (12Eme),Street Decorations,Planter,695,0.0,2723,1,1
109,109 - Jardin Hans Et Sophie Scholl,Jardin Hans Et Sophie Scholl,Open Promenades,Garden,1005,0.0,7833,1,1
110,110 - Jardiniere Verticale Du 18 Rue Du Cloitre Saint Merri,Jardiniere Verticale Du 18 Rue Du Cloitre Saint Merri,Green Walls,Green Walls,,0.0,2,0,0
111,111 - Jardiniere Verticale Du Parc Georges Brassens 1,Jardiniere Verticale Du Parc Georges Brassens 1,Green Walls,Green Walls,,0.0,19,0,0
112,112 - Jardiniere Verticale Du Square Eugenie Cotton 2,Jardiniere Verticale Du Square Eugenie Cotton 2,Green Walls,Green Walls,,0.0,10,0,0
113,113 - Jardinieres De La Rue Du Pont Neuf (Samaritaine),Jardinieres De La Rue Du Pont Neuf (Samaritaine),Street Decorations,Planter,,0.0,136,1,0
114,114 - Square Du Docteur Variot,Square Du Docteur Variot,Open Promenades,Public Garden,243,1.0,3077,1,1
115,115 - Jardin De L'Hospice Debrousse,Jardin De L'Hospice Debrousse,Open Promenades,Garden,552,1.0,9227,1,1
116,116 - Jardiniere Verticale Du Square Louise Michel,Jardiniere Verticale Du Square Louise Michel,Green Walls,Green Walls,,0.0,9,0,0
117,117 - Jardinieres De La Rue De Bellevue,Jardinieres De La Rue De Bellevue,Street Decorations,Planter,,0.0,90,0,0
118,118 - Jardinieres De La Place Richard Baret,Jardinieres De La Place Richard Baret,Street Decorations,Planter,,0.0,299,1,0
119,119 - Jardinieres Evq De La Rue Guy Patin,Jardinieres Evq De La Rue Guy Patin,Street Decorations,Planter,,0.0,296,1,0
120,120 - Jardinieres Evq De La Rue Pernety,Jardinieres Evq De La Rue Pernety,Street Decorations,Planter,,0.0,49,0,0
121,121 - Jardinieres Rae De L'Avenue Lamoriciere,Jardinieres Rae De L'Avenue Lamoriciere,Street Decorations,Planter,,0.0,451,1,0
122,122 - Jardinieres De La Rue Cesselin,Jardinieres De La Rue Cesselin,Street Decorations,Planter,,0.0,80,0,0
123,123 - Jardinieres Evq Rue Des Freres Morane,Jardinieres Evq Rue Des Freres Morane,Street Decorations,Planter,,0.0,263,1,0
124,124 - Jardinieres Vga De La Rue Louis Lumiere,Jardinieres Vga De La Rue Louis Lumiere,Street Decorations,Planter,,0.0,405,1,0
125,125 - Jardinieres Du  Parvis Du Palais Des Congres,Jardinieres Du  Parvis Du Palais Des Congres,Street Decorations,Planter,,0.0,6061,1,1
126,126 - Jardinieres De La Place De La Porte Maillot,Jardinieres De La Place De La Porte Maillot,Street Decorations,Planter,,0.0,469,1,0
127,127 - Parc Aretha Franklin,Parc Aretha Franklin,Open Promenades,Park,,0.0,19212,1,1
128,128 - Promenade D'Australie 7E,Promenade D'Australie 7E,Open Promenades,Promenade,1969,0.0,10717,1,1
129,129 - Jardiniere Angle Des Rues De La Glaciere - De La Sante,Jardiniere Angle Des Rues De La Glaciere - De La Sante,Street Decorations,Planter,58,0.0,101,1,0
130,130 - Jardinieres Rae De La Rue Erasme,Jardinieres Rae De La Rue Erasme,Street Decorations,Planter,266,0.0,188,1,0
131,131 - Square Eugene Thomas,Square Eugene Thomas,Open Promenades,Public Garden,115,1.0,752,1,0
132,132 - Jardin De L'Eglise Protestante Lutherienne Saint-Jean-Denys-Buhler,Jardin De L'Eglise Protestante Lutherienne Saint-Jean-Denys-Buhler,Open Promenades,Garden,326,1.0,1727,1,1
133,133 - Jardiniere De La Rue Vergniaud,Jardiniere De La Rue Vergniaud,Street Decorations,Planter,9,0.0,4,0,0
134,134 - Jardinieres  Rae De La Rue De Lancry,Jardinieres  Rae De La Rue De Lancry,Street Decorations,Planter,,0.0,205,1,0
135,135 - Jardinieres Vga Aux Abords De La Gare Du Nord,Jardinieres Vga Aux Abords De La Gare Du Nord,Street Decorations,Decoration,,0.0,376,1,0
136,136 - Jardinieres Rae De La Rue Du Sommerard,Jardinieres Rae De La Rue Du Sommerard,Street Decorations,Planter,,0.0,213,1,0
137,137 - Jardinets De L'Avenue De Camoens,Jardinets De L'Avenue De Camoens,Street Decorations,Small Garden,98,0.0,158,1,0
138,138 - Jardinet De La Mairie Du Vieme,Jardinet De La Mairie Du Vieme,Decorative Gardens,Small Garden,21,1.0,33,0,0
139,139 - Jardinieres Rae De La Rue Corvisart,Jardinieres Rae De La Rue Corvisart,Street Decorations,Planter,,0.0,137,1,0
140,140 - Jardiniere De La Rue Louise Hervieu,Jardiniere De La Rue Louise Hervieu,Street Decorations,Planter,65,0.0,76,0,0
141,141 - Jardiniere De La Rue Lobau,Jardiniere De La Rue Lobau,Street Decorations,Planter,39,0.0,22,0,0
142,142 - Mail Du Passage Nafissa Sid Cara,Mail Du Passage Nafissa Sid Cara,Street Decorations,Avenue,140,0.0,310,1,0
143,143 - Jardiniere Verticale Du 11 Rue Omer Talon,Jardiniere Verticale Du 11 Rue Omer Talon,Green Walls,Green Walls,7,0.0,0,0,0
144,144 - Jardiniere Verticale Du 5 Rue Bergere,Jardiniere Verticale Du 5 Rue Bergere,Green Walls,Green Walls,4,0.0,0,0,0
145,145 - Jardiniere Verticale Du 25 Rue Du Chateau Landon,Jardiniere Verticale Du 25 Rue Du Chateau Landon,Green Walls,Green Walls,11,0.0,1,0,0
146,146 - Jardiniere De La Place Bienvenue,Jardiniere De La Place Bienvenue,Street Decorations,Planter,49,0.0,92,0,0
147,147 - Jardinet Du Regard Des Mauxins,Jardinet Du Regard Des Mauxins,Decorative Gardens,Small Garden,78,1.0,368,1,0
148,148 - Square De L'Oiseau Lunaire,Square De L'Oiseau Lunaire,Open Promenades,Public Garden,273,1.0,4325,1,1
149,149 - Jardinieres De L'Esplanade Leo Hamon,Jardinieres De L'Esplanade Leo Hamon,Street Decorations,Planter,124,0.0,291,1,0
150,150 - Jardiniere Verticale Du Square Des Gres 1,Jardiniere Verticale Du Square Des Gres 1,Green Walls,Green Walls,,0.0,18,0,0
151,151 - Square Des Ecrivains Combattants Morts Pour La France,Square Des Ecrivains Combattants Morts Pour La France,Open Promenades,Public Garden,196,1.0,2057,1,1
152,152 - Jardin Du Clos Montmartre (Vignes),Jardin Du Clos Montmartre (Vignes),Decorative Gardens,Garden,181,1.0,2094,1,1
153,153 - Jardin De L'Hotel De Sens,Jardin De L'Hotel De Sens,Open Promenades,Garden,153,1.0,1424,1,1
154,154 - Jardiniere Angle Des Rues Broca - Saint-Hippolyte,Jardiniere Angle Des Rues Broca - Saint-Hippolyte,Street Decorations,Planter,36,0.0,56,0,0
155,155 - Jardinieres Du Square Georges Lesage,Jardinieres Du Square Georges Lesage,Street Decorations,Planter,23,0.0,6,0,0
156,156 - Jardinieres De La Gare Et Parking Maillot,Jardinieres De La Gare Et Parking Maillot,Street Decorations,Planter,706,0.0,1070,1,1
157,157 - Square Raymond Souplex,Square Raymond Souplex,Open Promenades,Public Garden,90,1.0,443,1,0
158,158 - Plate-Bande De La Rue Victor Schoelcher,Plate-Bande De La Rue Victor Schoelcher,Decorative Gardens,Flower Bed,300,1.0,165,1,0
159,159 - 35-06,35-06,Ring Road,Slope,156,0.0,891,1,0
160,160 - 21-03,21-03,Ring Road,Slope,620,0.0,2442,1,1
161,161 - Square Sainte-Odile,Square Sainte-Odile,Open Promenades,Public Garden,458,1.0,11104,1,1
162,162 - Square Auguste Balagny,Square Auguste Balagny,Open Promenades,Public Garden,281,1.0,2257,1,1
163,163 - Decoration De La Place Des Alpes,Decoration De La Place Des Alpes,Street Decorations,Decoration,54,0.0,227,1,0
164,164 - Square Du Quai De La Seine,Square Du Quai De La Seine,Open Promenades,Public Garden,143,1.0,502,1,0
165,165 - 21-02,21-02,Ring Road,Slope,640,0.0,4084,1,1
166,166 - Jardin De La Place Du Docteur Navarre,Jardin De La Place Du Docteur Navarre,Open Promenades,Garden,125,1.0,788,1,0
167,167 - 10-04,10-04,Ring Road,Slope,90,0.0,162,1,0
168,168 - Jardin Francoise Helene Jourda,Jardin Francoise Helene Jourda,Open Promenades,Garden,198,1.0,1040,1,1
169,169 - Jardinieres Angle Des Rues De Tolbiac - Moulin Des Pres,Jardinieres Angle Des Rues De Tolbiac - Moulin Des Pres,Street Decorations,Planter,71,0.0,100,0,0
170,170 - Square Barye,Square Barye,Open Promenades,Public Garden,285,1.0,3077,1,1
171,171 - Coulee Verte Rene Dumont - Promenade Des Rues De Picpus Et De Reuilly,Coulee Verte Rene Dumont - Promenade Des Rues De Picpus Et De Reuilly,Open Promenades,Promenade,791,1.0,10427,1,1
172,172 - Square Edmee Chandon,Square Edmee Chandon,Open Promenades,Public Garden,98,1.0,476,1,0
173,173 - Square Fernand Foureau,Square Fernand Foureau,Open Promenades,Public Garden,126,1.0,914,1,0
174,174 - Jardin James Joyce,Jardin James Joyce,Open Promenades,Garden,257,1.0,3597,1,1
175,175 - 00-08,00-08,Ring Road,Slope,127,0.0,646,1,0
176,176 - Decoration De La Place De Rungis,Decoration De La Place De Rungis,Street Decorations,Decoration,80,0.0,380,1,0
177,177 - Jardiniere De La Rue Charles Nicolle,Jardiniere De La Rue Charles Nicolle,Street Decorations,Planter,,0.0,75,0,0
178,178 - Jardin Des Arts -  Albert Schweitzer,Jardin Des Arts -  Albert Schweitzer,Open Promenades,Public Garden,119,1.0,5169,1,1
179,179 - Jardinieres Rue Des Longues Raies,Jardinieres Rue Des Longues Raies,Street Decorations,Planter,434,0.0,428,1,0
180,180 - Jardiniere Verticale Du 12 Passage Des Recollets,Jardiniere Verticale Du 12 Passage Des Recollets,Green Walls,Green Walls,13,0.0,6,0,0
181,181 - Jardinieres De La Rue De Champagny,Jardinieres De La Rue De Champagny,Street Decorations,Planter,147,0.0,274,1,0
182,182 - Jardin De La Rue Ginette Neveu,Jardin De La Rue Ginette Neveu,Open Promenades,Garden,261,1.0,2977,1,1
183,183 - Jardin De L'Avenue Dode De La Brunerie,Jardin De L'Avenue Dode De La Brunerie,Open Promenades,Garden,234,1.0,2975,1,1
184,184 - Plate-Bande Du Separateur De L'Avenue Dausmesnil,Plate-Bande Du Separateur De L'Avenue Dausmesnil,Street Decorations,Flower Bed,166,0.0,107,1,0
185,185 - Jardin Partage L'Ilot Lilas,Jardin Partage L'Ilot Lilas,"Temporary, Shared, Educational Spaces",Shared Garden,61,1.0,236,1,0
186,186 - Decoration Du Boulevard Des Batignolles,Decoration Du Boulevard Des Batignolles,Street Decorations,Decoration,95,0.0,91,0,0
187,187 - Square Paul Robin,Square Paul Robin,Open Promenades,Public Garden,186,1.0,2231,1,1
188,188 - 29-09,29-09,Ring Road,Slope,384,0.0,3343,1,1
189,189 - 30-01,30-01,Ring Road,Slope,409,0.0,887,1,0
190,190 - 30-07,30-07,Ring Road,Slope,246,0.0,560,1,0
191,191 - Jardiniere Verticale Du 22 Boulevard Kellermann,Jardiniere Verticale Du 22 Boulevard Kellermann,Green Walls,Green Walls,17,0.0,2,0,0
192,192 - Jardinieres T3 Chaumont - Pantin,Jardinieres T3 Chaumont - Pantin,Street Decorations,Planter,93,0.0,407,1,0
193,193 - Jardiniere Verticale Du 26 Rue Archereau,Jardiniere Verticale Du 26 Rue Archereau,Green Walls,Green Walls,34,0.0,22,0,0
194,194 - Square De La Raffinerie Say,Square De La Raffinerie Say,Open Promenades,Public Garden,533,1.0,8180,1,1
195,195 - Square Saint-Bernard - Said Bouziri,Square Saint-Bernard - Said Bouziri,Open Promenades,Public Garden,148,1.0,1268,1,1
196,196 - Tep Verdun Valmy,Tep Verdun Valmy,Sports Facilities,Green Space,491,1.0,1179,1,1
197,197 - Jardin De La Place Du Marechal Delattre De Tassigny,Jardin De La Place Du Marechal Delattre De Tassigny,Open Promenades,Garden,321,0.0,8145,1,1
198,198 - Square Alexandre Luquet,Square Alexandre Luquet,Open Promenades,Public Garden,222,1.0,2717,1,1
199,199 - Jardin De La Mairie Du Viiieme,Jardin De La Mairie Du Viiieme,Open Promenades,Garden,106,1.0,587,1,0
200,200 - Talus De La Rue Censier,Talus De La Rue Censier,Street Decorations,Slope,166,0.0,576,1,0
201,201 - Jardinieres De La Rue Watt,Jardinieres De La Rue Watt,Street Decorations,Planter,272,0.0,107,1,0
202,202 - Jardinieres Du Village Saint-Paul,Jardinieres Du Village Saint-Paul,Street Decorations,Planter,247,0.0,228,1,0
203,203 - Jardin Yitzhak Rabin,Jardin Yitzhak Rabin,Open Promenades,Garden,887,1.0,43357,1,1
204,204 - Parc De Bercy,Parc De Bercy,Open Promenades,Park,2013,1.0,94983,1,1
205,205 - Square Clos Feuquieres - Desnouettes,Square Clos Feuquieres - Desnouettes,Open Promenades,Public Garden,506,1.0,13580,1,1
206,206 - Jardiniere De La Rue Mouffetard,Jardiniere De La Rue Mouffetard,Street Decorations,Planter,15,0.0,8,0,0
207,207 - Jardinieres De La Rue Marcadet,Jardinieres De La Rue Marcadet,Street Decorations,Planter,46,0.0,28,0,0
208,208 - Jardinet De La Place Saint-Estephe,Jardinet De La Place Saint-Estephe,Decorative Gardens,Small Garden,312,0.0,2885,1,1
209,209 - Decoration Face Ecole De La Rue Saint-Bernard,Decoration Face Ecole De La Rue Saint-Bernard,Street Decorations,Decoration,30,0.0,20,0,0
210,210 - Jardin Partage Cite Industrielle,Jardin Partage Cite Industrielle,"Temporary, Shared, Educational Spaces",Shared Garden,42,1.0,102,1,0
211,211 - Jardiniere Verticale Du 49 Rue Leon,Jardiniere Verticale Du 49 Rue Leon,Green Walls,Green Walls,48,0.0,13,0,0
212,212 - Jardinieres Angle Des Rues Curial - Archereau,Jardinieres Angle Des Rues Curial - Archereau,Street Decorations,Planter,126,0.0,79,0,0
213,213 - Jardinieres De La Cite De La Musique,Jardinieres De La Cite De La Musique,Street Decorations,Planter,160,0.0,317,1,0
214,214 - Jardiniere De L'Avenue De La Porte De Montrouge,Jardiniere De L'Avenue De La Porte De Montrouge,Street Decorations,Planter,60,0.0,85,0,0
